ID	TRI	textTitle-freetext	Form	status	shelfmark	range_views	Date	Scripta
btv1b52503009d_Ogier-le-Danois_Version-en-alexandrins	Ogier le Danois	Version en alexandrins	verse		Arsenal 2985	15-726	1351-1400
btv1b55013310k_Sept-Sages-de-Rome_Sept-Sages-de-Rome	Sept Sages de Rome	Sept Sages de Rome	prose		Arsenal 2998	7-120	1401-1500
btv1b525104185_Bertrand-du-Guesclin_Bertrand-du-Guesclin	Bertrand du Guesclin	Bertrand du Guesclin	verse		Arsenal 3141	11-696	1401-1420
btv1b55003999w_Cleomadés_Cleomadés	Cleomadés	Cleomadés			Arsenal 3142	13-155	1281-1300
btv1b55003999w_Berte-aus-grans-piés_Berte-aus-grans-piés	Berte aus grans piés	Berte aus grans piés	verse		Arsenal 3142	252-292	1281-1300
btv1b55003999w_Beuve-de-Commarchis_Beuve-de-Commarchis	Beuve de Commarchis	Beuve de Commarchis	verse		Arsenal 3142	369-414	1281-1300
btv1b55003999w_Saisnes_Saisnes	Saisnes	Saisnes	verse		Arsenal 3142	469-518	1281-1300
btv1b55003999w_enfances-Ogier_enfances-Ogier	enfances Ogier	enfances Ogier	verse		Arsenal 3142	157-250	1281-1300
btv1b7100011x_Meliadus_Meliadus	Meliadus	Meliadus	mixed		Arsenal 3325	23-115	1251-1300
btv1b7100011x_Guiron-le-courtois_Guiron-le-courtois-Suite-Guiron	Guiron le courtois	Guiron le courtois / Suite Guiron			Arsenal 3325	117-497	1251-1300
btv1b10467114m_roman-de-Troie_roman-de-Troie	roman de Troie	roman de Troie			Arsenal 3340	7-384	1237
btv1b52503762d_Garin-le-Loherain_Version-en-prose	Garin le Loherain	Version en prose	prose		Arsenal 3346	9-161	1467-1500
btv1b550005068_Lancelot-en-prose_Lancelot-en-prose	Lancelot en prose	Lancelot en prose	prose		Arsenal 3347	8-433	1201-1300
btv1b550005068_queste-del-saint-Graal_queste-del-saint-Graal	queste del saint Graal	queste del saint Graal			Arsenal 3347	434-592	1201-1300
btv1b550005068_Mort-Artu--Post-Vulgate-_Mort-Artu-Post-Vulgate-	Mort Artu (Post-Vulgate)	Mort Artu (Post-Vulgate)			Arsenal 3347	594-705	1201-1300
btv1b104671135_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		Arsenal 3348	9-249	1301-1400
btv1b52505340v_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		Arsenal 3349	9-562	1462-1472
btv1b10467112q_queste-del-saint-Graal_queste-del-saint-Graal	queste del saint Graal	queste del saint Graal	prose		Arsenal 3350	306-335	1451-1500
btv1b10467112q_Mort-Artu--Post-Vulgate-_Mort-Artu-Post-Vulgate-	Mort Artu (Post-Vulgate)	Mort Artu (Post-Vulgate)			Arsenal 3350	336-354	1451-1500
btv1b10467112q_L-Estoire-del-Saint-Graal_L-Estoire-del-Saint-Graal	L’Estoire del Saint Graal	L’Estoire del Saint Graal	prose		Arsenal 3350	20-62	1451-1500
btv1b10467112q_Merlin_Merlin-en-prose	Merlin	Merlin en prose	prose		Arsenal 3350	62-88	1451-1500
btv1b10467112q_Merlin_Suite-Vulgate-du-Merlin	Merlin	Suite-Vulgate du Merlin	prose		Arsenal 3350	88-137	1451-1500
btv1b10467112q_Lancelot-en-prose_Lancelot-en-prose	Lancelot en prose	Lancelot en prose	prose		Arsenal 3350	137-306	1451-1500
btv1b52514362j_Garin-de-Monglane_Version-en-prose-1	Garin de Monglane	Version en prose 1	prose		Arsenal 3351	7-764	1481-1500
btv1b550081732_Melusine-ou-la-noble-histoire-de-Lusignan_Melusine-ou-la-noble-histoire-de-Lusignan	Melusine ou la noble histoire de Lusignan	Melusine ou la noble histoire de Lusignan			Arsenal 3353	5-335	1401-1425
